"X1","Comuna","COD_COM","Poblacion","p_hacina","p_hacina_c","densidad","p_pob","sem_cuar","IVS","tasa_max","tasa_est","error","sem13","sem20","mov80","mov40","mov20","tasa_sem13","tasa_sem20","var_tasa_sem13","var_tasa_sem20","tasa_mov80","tasa_mov40","tasa_mov20","var_tasa_mov80","var_tasa_mov40","var_tasa_mov20"
1,"Buin",13402,109641,7.46,0.59,444.2,25,20,56.1448453698361,259,423.340410473241,38.8199204251561,13,20,80,40,20,369.999493491438,435.913239324597,42.8569472939914,68.3062700094969,636.427848551382,266.525884449378,81.5749023983768,145.725038050727,2.90574689165191,-68.5038986878854
2,"Cerrillos",13102,88956,8.7,0.94,4818.8,27,18,71.5439395403623,396,542.160388841626,26.9588837269928,13,20,80,40,20,496.770090630597,562.683836463756,25.4469925834842,42.0918778948879,629.512780205724,259.610816103721,74.659834052719,58.9678737893242,-34.4417131051211,-81.1465065523437
3,"Cerro Navia",13103,142465,12.84,1.83,11949.6,35,19,69.7929345251329,555,556.757857153307,0.315731000599613,13,20,80,40,20,503.831336134289,569.745081967448,-9.21957907490293,2.65677152566628,666.374885783906,296.472921681903,111.521939630901,20.0675469880911,-46.5814555528103,-79.9059568232611
4,"Colina",13301,180353,7.47,0.53,150.6,26,20,45.6192484144073,345,329.799309575914,4.6090728460385,13,20,80,40,20,271.262920512317,337.176666345476,-21.373066518169,-2.26763294334027,619.406751610082,249.504787508079,64.5538054570771,79.5381888724875,-27.6797717367888,-81.2887520414269
5,"Conchali",13104,139195,10.44,1.53,11427.9,29,19,65.8383650498081,523,522.509631325384,0.0938487341127109,13,20,80,40,20,468.420939528954,534.334685362113,-10.4357668204676,2.16724385508859,656.58516898095,286.683204878947,101.732222827945,25.5420973194934,-45.1848556636812,-80.5483321552686
6,"El Bosque",13105,172000,10.22,1.04,11344.6,23,16,68.6585080742106,496,498.729197801914,0.547230403582328,13,20,80,40,20,469.027648543531,534.941394376689,-5.43797408396559,7.85108757594545,610.104934784129,240.202970682125,55.2519886311235,23.0050271742195,-51.5719817173135,-88.8604861630799
7,"Estacion Central",13106,206792,11.87,2.86,10244.4,24,18,68.5521320355856,367,588.160733004515,37.6020908221388,13,20,80,40,20,541.92583999799,607.83958583115,47.6637166207058,65.6238653490871,699.430725854238,329.528761752235,144.577779701234,90.580579251836,-10.2101466615163,-60.6055096181925
8,"Huechuraba",13107,112528,8.1,1.01,2197.5,29,20,56.2843586853693,454,437.118810144278,3.86192254004119,13,20,80,40,20,377.27308450351,443.186830336669,-16.9002016512093,-2.38175543245172,644.878553299662,274.976589197659,90.0256071466573,42.0437342069741,-39.4324693397227,-80.1705711130711
9,"Independencia",13108,142065,13.56,2.49,13627.2,21,13,65.8876053001969,563,492.629375299372,14.2846992544574,13,20,80,40,20,485.929116439044,551.842862272203,-13.6893221245037,-1.98172961417352,642.876376580831,272.974412478828,88.0234304278264,14.1876334957071,-51.5143139469222,-84.3652876682369
10,"La Cisterna",13109,100434,6.35,0.69,9030.7,18,19,63.3001030444362,452,456.384961198485,0.960803175233896,13,20,80,40,20,401.736242402202,467.649988235361,-11.1203003534951,3.46238677773478,623.020303709359,253.118339607356,68.1673575563548,37.8363503781768,-44.0003673435052,-84.9187262043463
